ts_utc,round_id,lux_avg,lux_valid,env_valid,temperature_c,pressure_hpa,humidity_pct,soil_valid,soil_raw,soil_moisture_pct,fill_on,shots_planned
2026-03-21T10:12:18Z,round_1774087938451,0.7124,1,1,23.4200,1013.8246,35.4824,1,794,11.2000,1,1
2026-03-21T20:14:22Z,round_1774124062157,0.9824,1,1,23.8800,1014.1826,33.9141,1,792,11.6000,0,1
2026-03-22T10:16:05Z,round_1774174565272,0.7058,1,1,23.3500,1014.2634,35.7617,1,794,11.2000,1,1
2026-03-22T20:18:47Z,round_1774210727318,0.9688,1,1,23.6400,1014.5088,34.2871,1,792,11.6000,0,1
2026-03-23T10:11:43Z,round_1774260703398,0.6941,1,1,23.1800,1014.6841,36.1055,1,795,11.0000,1,1
2026-03-23T20:12:19Z,round_1774296739233,0.9511,1,1,23.4200,1014.9365,34.9023,1,793,11.4000,0,1
2026-03-24T10:13:57Z,round_1774347237391,0.6865,1,1,23.0200,1015.0437,36.3418,1,795,11.0000,1,1
2026-03-24T20:16:03Z,round_1774383363655,0.9347,1,1,23.2600,1015.2217,35.1855,1,793,11.4000,0,1
2026-03-25T10:15:18Z,round_1774433718932,0.7012,1,1,23.1400,1015.4328,35.9629,1,794,11.2000,1,1
2026-03-25T20:11:44Z,round_1774469504821,0.9479,1,1,23.5100,1015.6842,34.7715,1,792,11.6000,0,1
2026-03-26T10:17:21Z,round_1774520241197,0.7163,1,1,23.3600,1015.8749,35.4082,1,793,11.4000,1,1
2026-03-26T20:20:28Z,round_1774556428037,0.9735,1,1,23.6800,1016.0254,34.2383,1,791,11.8000,0,1
2026-03-27T10:18:03Z,round_1774606683064,0.7298,1,1,23.5200,1016.1432,35.0742,1,792,11.6000,1,1
2026-03-27T20:22:31Z,round_1774642951138,0.9862,1,1,23.8700,1016.2248,33.9023,1,790,12.0000,0,1
2026-03-28T10:14:49Z,round_1774692889265,0.7417,1,1,23.6400,1016.3521,34.6885,1,792,11.6000,1,1
2026-03-28T20:19:14Z,round_1774729154802,1.0046,1,1,24.0100,1016.5136,33.4375,1,790,12.0000,0,1
2026-03-29T10:16:42Z,round_1774779402626,0.7485,1,1,23.7100,1016.6448,33.2480,1,791,11.8000,1,1
2026-03-29T22:57:18Z,round_1774825038247,0.9973,1,1,24.0400,1016.7736,31.6865,1,790,12.0000,0,1
2026-03-30T10:19:18Z,round_1774865958313,0.7452,1,1,23.6200,1016.6127,33.7441,1,792,11.6000,1,1
2026-03-30T21:03:26Z,round_1774904606452,0.9918,1,1,23.9500,1016.6881,31.9941,1,791,11.8000,0,1
2026-03-31T10:18:47Z,round_1774952327549,0.7326,1,1,23.4100,1016.4883,34.1260,1,792,11.6000,1,1
2026-03-31T21:09:57Z,round_1774991397264,0.9841,1,1,23.7300,1016.4124,32.4863,1,791,11.8000,0,1
2026-04-01T10:15:11Z,round_1775038511213,0.7014,1,1,23.1300,1016.1145,34.9512,1,793,11.4000,1,1
2026-04-01T20:48:31Z,round_1775076511859,0.9563,1,1,23.4100,1015.9821,33.2012,1,792,11.6000,0,1
2026-04-02T10:13:36Z,round_1775124816932,0.6788,1,1,23.0200,1015.7438,35.2246,1,793,11.4000,1,1
2026-04-02T20:44:08Z,round_1775162648195,0.6884,1,1,23.2900,1015.4087,34.0869,1,792,11.6000,1,1
2026-04-03T10:12:04Z,round_1775211124257,0.6841,1,1,23.1700,1015.1963,34.9727,1,793,11.4000,1,1
2026-04-03T20:46:53Z,round_1775249213346,0.7428,1,1,23.5600,1015.4087,33.8652,1,791,11.8000,1,1
2026-04-04T10:10:42Z,round_1775297442501,0.6927,1,1,23.4300,1015.0158,34.5410,1,792,11.6000,1,1
2026-04-04T20:52:40Z,round_1775335960894,0.7761,1,1,23.8200,1015.1235,33.2148,1,791,11.8000,1,1
2026-04-05T10:16:16Z,round_1775384176795,0.7056,1,1,23.6200,1014.8524,34.0879,1,792,11.6000,1,1
2026-04-05T20:50:15Z,round_1775422215191,0.8014,1,1,24.0800,1014.9247,32.8984,1,790,12.0000,1,1
2026-04-06T10:14:28Z,round_1775470468852,0.7218,1,1,23.8800,1014.7315,33.6084,1,791,11.8000,1,1
2026-04-06T20:43:52Z,round_1775508232954,0.8352,1,1,24.3200,1014.7163,32.3633,1,790,12.0000,0,1
2026-04-07T10:12:54Z,round_1775556774958,0.7364,1,1,24.0500,1014.7686,33.2715,1,791,11.8000,1,1
2026-04-07T20:41:33Z,round_1775594493397,0.8647,1,1,24.4800,1014.8635,31.9473,1,789,12.2000,0,1
2026-04-08T10:11:31Z,round_1775643091456,0.7488,1,1,24.1800,1014.9828,33.0625,1,790,12.0000,1,1
2026-04-08T20:39:18Z,round_1775680758619,0.8831,1,1,24.6100,1015.1124,31.6816,1,789,12.2000,0,1
2026-04-09T10:13:07Z,round_1775729587492,0.7593,1,1,24.3300,1015.2461,32.7686,1,790,12.0000,1,1
2026-04-09T20:37:05Z,round_1775767025534,0.9054,1,1,24.7700,1015.3988,31.3457,1,789,12.2000,0,1
2026-04-10T10:15:49Z,round_1775816149864,0.5283,1,1,24.4800,1015.6843,32.4512,1,791,11.8000,1,1
2026-04-10T20:35:42Z,round_1775853342788,0.6211,1,1,24.9500,1015.8762,31.1084,1,790,12.0000,1,1
2026-04-11T10:16:34Z,round_1775902594568,0.5519,1,1,24.6400,1016.0238,32.2383,1,791,11.8000,1,1
2026-04-11T20:33:24Z,round_1775939604972,0.6487,1,1,25.0800,1016.2239,30.9727,1,791,11.8000,1,1
2026-04-12T10:12:48Z,round_1775988768452,0.5744,1,1,24.7100,1016.3548,32.0264,1,791,11.8000,1,1
