epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.556,2.25193,6.84119,0.00796,0.75696,0.27076,0.28702,0.12675,1.74114,3.6727,0.01157,0.00166371,0.000554571,0.00166371,0.000554571,0.00166371,0.000554571,0.00166371,0.000554571
2,267.132,2.11824,4.64071,0.00692,0.44981,0.38962,0.40082,0.18495,1.66568,2.94794,0.01086,0.0033299,0.00110997,0.0033299,0.00110997,0.0033299,0.00110997,0.0033299,0.00110997
3,474.981,2.01442,3.46659,0.00669,0.59152,0.49353,0.50209,0.21924,1.66845,2.1137,0.01121,0.00499283,0.00166428,0.00499283,0.00166428,0.00499283,0.00166428,0.00499283,0.00166428
4,590.017,1.98281,2.64978,0.00656,0.56949,0.51288,0.48668,0.23194,1.64937,1.63473,0.01127,0.00499001,0.00166334,0.00499001,0.00166334,0.00499001,0.00166334,0.00499001,0.00166334
5,705.317,1.95864,2.2378,0.0067,0.53105,0.54093,0.51542,0.23653,1.69285,1.52075,0.01208,0.00498148,0.00166049,0.00498148,0.00166049,0.00498148,0.00166049,0.00498148,0.00166049
6,951.067,1.95591,1.98284,0.00647,0.61271,0.54498,0.57687,0.28088,1.66979,1.44262,0.01182,0.00497052,0.00165684,0.00497052,0.00165684,0.00497052,0.00165684,0.00497052,0.00165684
7,1066.8,1.94608,1.91312,0.00643,0.6752,0.50879,0.61042,0.28442,1.71025,1.41623,0.01272,0.00495715,0.00165238,0.00495715,0.00165238,0.00495715,0.00165238,0.00495715,0.00165238
8,1490.98,1.91656,1.82683,0.00633,0.69117,0.61636,0.63782,0.30726,1.66404,1.33866,0.01189,0.00494138,0.00164713,0.00494138,0.00164713,0.00494138,0.00164713,0.00494138,0.00164713
9,1989.37,1.88022,1.79193,0.00638,0.69009,0.585,0.63092,0.29615,1.70191,1.3732,0.01374,0.00492323,0.00164108,0.00492323,0.00164108,0.00492323,0.00164108,0.00492323,0.00164108
10,2393.05,1.8834,1.72508,0.00625,0.7168,0.61344,0.66803,0.30737,1.67844,1.31469,0.01363,0.00490271,0.00163424,0.00490271,0.00163424,0.00490271,0.00163424,0.00490271,0.00163424
11,2803.09,1.86672,1.70005,0.00573,0.6461,0.61327,0.61973,0.29405,1.67815,1.31564,0.01233,0.00487984,0.00162661,0.00487984,0.00162661,0.00487984,0.00162661,0.00487984,0.00162661
12,3309.16,1.87221,1.62008,0.00606,0.6735,0.66496,0.65369,0.31165,1.7179,1.19979,0.01378,0.00485465,0.00161822,0.00485465,0.00161822,0.00485465,0.00161822,0.00485465,0.00161822
13,3815.83,1.8665,1.62431,0.00604,0.71056,0.66222,0.69372,0.35154,1.68034,1.13521,0.01247,0.00482716,0.00160905,0.00482716,0.00160905,0.00482716,0.00160905,0.00482716,0.00160905
